"","xmin","ymin","xmax","ymax","country"
"1",-9.683349609375,17.98662109375,12.96787109375,38.0923828125,"Algeria"
"2",111.908203125,-55.74921875,159.95888671875,-9.05175781250001,"Australia"
"3",8.52402343750001,45.39970703125,18.14736328125,50.001123046875,"Austria"
"4",1.52490234375,48.510888671875,7.36445312500001,52.49111328125,"Belgium"
"5",-75.00205078125,-34.7421875,-33.80546875,6.25795898437497,"Brazil"
"6",-6.52353515624998,8.42470703124999,3.38916015625,16.077880859375,"Burkina Faso"
"7",7.5328125,0.676220703124997,17.1833984375,14.078515625,"Cameroon"
"8",-142.0021484375,40.6748535156251,-51.653662109375,84.1161132812501,"Canada"
"9",72.60732421875,17.21826171875,135.75234375,54.555615234375,"China"
"10",11.08974609375,47.576220703125,19.8322265625,52.03779296875,"Czech Republic"
"11",-73.8180664062499,53.628857421875,16.1371093750001,84.5996093750001,"Denmark"
"12",23.70322265625,20.994873046875,37.87138671875,32.65498046875,"Egypt"
"13",20.8544921875001,56.52548828125,29.15107421875,60.6390136718751,"Estonia"
"14",18.51904296875,58.8160156250001,32.5365234375,71.06484375,"Finland"
"15",-62.794091796875,-22.36904296875,56.8390625000001,52.097119140625,"France"
"16",4.85751953125003,46.27880859375,16.0166015625,56.058740234375,"Germany"
"17",18.646484375,33.93447265625,29.2318359375001,42.743798828125,"Greece"
"18",15.09306640625,44.75302734375,23.87666015625,49.553466796875,"Hungary"
"19",67.1650390625001,5.748681640625,98.3435546875,36.66171875,"India"
"20",-11.3902343749999,50.47373046875,-5.02739257812499,56.3658203125,"Ireland"
"21",33.2453125,28.47734375,36.9134765625,34.43173828125,"Israel"
"22",5.62773437500002,35.687841796875,19.4858398437501,48.08212890625,"Italy"
"23",122.67978515625,23.266064453125,146.8330078125,46.509521484375,"Japan"
"24",45.6091796875001,39.6086425781251,88.3228515625001,56.389599609375,"Kazakhstan"
"25",19.8998046875001,52.89296875,27.77568359375,57.411181640625,"Lithuania"
"26",98.6462890625,-0.138037109374977,120.26630859375,8.35166015625001,"Malaysia"
"27",13.18037109375,34.82021484375,15.5662109375,37.07578125,"Malta"
"28",-119.4013671875,13.54541015625,-85.6962890625,33.71533203125,"Mexico"
"29",-69.37109375,11.032080078125,8.19726562500003,54.62548828125,"Netherlands"
"30",-10.098876953125,57.020947265625,34.629296875,81.47783203125,"Norway"
"31",13.12861328125,48.020751953125,25.10576171875,55.83818359375,"Poland"
"32",-32.282958984375,31.648291015625,-5.2125,43.13740234375,"Portugal"
"33",-68.937060546875,16.947265625,-64.294873046875,19.52216796875,"Puerto Rico"
"34",19.241796875,42.67080078125,30.705859375,49.2634765625,"Romania"
"35",-181,40.199267578125,181,82.85419921875,"Russia"
"36",-18.53564453125,11.32802734375,-10.382421875,17.67890625,"Senegal"
"37",17.8390625,41.242138671875,23.97685546875,47.169189453125,"Serbia"
"38",102.6501953125,0.265380859375,104.99638671875,2.44707031249999,"Singapore"
"39",15.8626953125,46.763427734375,23.538671875,50.597705078125,"Slovakia"
"40",12.37822265625,44.428369140625,17.5162109375,47.86328125,"Slovenia"
"41",15.44755859375,-47.962890625,38.8876953125,-21.1462890625,"South Africa"
"42",125.00751953125,32.201513671875,131.93427734375,39.6234375,"South Korea"
"43",-19.1605468749999,26.64638671875,5.32207031250004,44.7645507812501,"Spain"
"44",10.14716796875,54.34638671875,25.15546875,70.036865234375,"Sweden"
"45",24.6689453125,34.8314453125,45.8171875,43.09326171875,"Turkey"
"46",28.5619140625,-2.46992187500001,35.97822265625,5.22021484375,"Uganda"
"47",-9.14482421874996,49.02138671875,2.74658203125,61.831884765625,"UK"
"48",21.1318359375001,43.38759765625,41.1283203125001,53.353564453125,"Ukraine"
"49",-179.19453125,17.9639160156251,180.77998046875,72.407666015625,"USA"
